question,tags,document
How do I choose the number of hidden layers in a neural network?,model-selection|neural-networks,f55240b8
How many nodes should I use in each hidden layer?,model-selection|neural-networks,f55240b8
When should I use pruning to optimize network configuration?,model-selection|neural-networks,f55240b8
"What is the relationship between the number of nodes in the input, hidden, and output layers?",model-selection|neural-networks,f55240b8
How can I determine the optimal network size for my problem?,model-selection|neural-networks,f55240b8
What are the most common reasons for neural networks not learning?,neural-networks|faq,4f05518c
How do you verify code correctness in neural network development?,neural-networks|faq,4f05518c
Why is data scaling and standardization important for neural networks?,neural-networks|faq,4f05518c
What is incremental model building?,neural-networks|faq,4f05518c
How do you choose and tune regularization methods in neural networks?,neural-networks|faq,4f05518c
"What are keys, queries, and values in attention mechanisms?",neural-networks|natural-language|attention|machine-translation,bac0222f
How does attention retrieve candidate matches?,neural-networks|natural-language|attention|machine-translation,bac0222f
How did Bahdanau et al. (2015) calculate alpha?,neural-networks|natural-language|attention|machine-translation,bac0222f
How did Vaswani et al. (2017) improve the efficiency of alpha calculation?,neural-networks|natural-language|attention|machine-translation,bac0222f
"What are the different sources of queries, keys, and values in attention mechanisms?",neural-networks|natural-language|attention|machine-translation,bac0222f
What is batch size?,neural-networks|python|terminology|keras,edc732dd
What are the advantages of smaller batch sizes?,neural-networks|python|terminology|keras,edc732dd
What are the disadvantages of smaller batch sizes?,neural-networks|python|terminology|keras,edc732dd
What is the special case of stochastic gradient descent?,neural-networks|python|terminology|keras,edc732dd
How does batch size affect training in neural networks?,neural-networks|python|terminology|keras,edc732dd
Why is the gradient of ReLU less prone to vanishing than that of sigmoid?,machine-learning|neural-networks|sigmoid-curve|relu,14d60ffe
How does ReLU contribute to sparse representations?,machine-learning|neural-networks|sigmoid-curve|relu,14d60ffe
What is the main advantage of sparse representations in deep learning?,machine-learning|neural-networks|sigmoid-curve|relu,14d60ffe
How does the reduced vanishing gradient affect learning speed?,machine-learning|neural-networks|sigmoid-curve|relu,14d60ffe
When is the output of ReLU equal to zero?,machine-learning|neural-networks|sigmoid-curve|relu,14d60ffe
What is 1x1 convolution used for in neural networks?,neural-networks|deep-learning|convolution|convolutional-neural-network,3c996423
How does 1x1 convolution affect filter space dimensionality?,neural-networks|deep-learning|convolution|convolutional-neural-network,3c996423
In what context are 1x1 convolutions used in the Google Inception architecture?,neural-networks|deep-learning|convolution|convolutional-neural-network,3c996423
What dual purpose do 1x1 convolutions serve?,neural-networks|deep-learning|convolution|convolutional-neural-network,3c996423
How do 1x1 convolutions improve computational efficiency in neural networks?,neural-networks|deep-learning|convolution|convolutional-neural-network,3c996423
What does the output layer in a neural network do?,machine-learning|neural-networks|nonlinear-regression,ab01484a
How does a hidden layer transform data?,machine-learning|neural-networks|nonlinear-regression,ab01484a
Why are neural networks good at combining many detectors?,machine-learning|neural-networks|nonlinear-regression,ab01484a
What is the main difference between a hidden layer and an output layer?,machine-learning|neural-networks|nonlinear-regression,ab01484a
What is the purpose of a neural network's multiple functions?,machine-learning|neural-networks|nonlinear-regression,ab01484a
How do deep neural networks differ from regular neural networks?,neural-networks|deep-learning,077eb5fc
Why are deep neural networks more effective than shallow ones?,neural-networks|deep-learning,077eb5fc
What is the main advantage of deep networks?,neural-networks|deep-learning,077eb5fc
"Despite their success, what challenges remain in understanding deep learning?",neural-networks|deep-learning,077eb5fc
How has deep learning advanced through practical experimentation?,neural-networks|deep-learning,077eb5fc
Why subtract dataset mean instead of image mean for image normalization in deep learning?,deep-learning|image-processing,55abb3b4
